event_start,setpoint,T_start,T_out_window,B3_lead_h,B3_feasible,B3_T_deadline,B3_on_time,B1_T_deadline,B1_on_time,E_B1_kwh,E_B3_kwh,kwh_saved
2026-05-27 06:00:00,21.0,20.34,18.2,0.0,True,20.34,True,20.33,True,24.3,23.7,0.6
2026-05-27 07:45:00,20.0,21.68,23.81,1.42,True,20.49,True,21.68,False,24.3,23.7,0.6
2026-05-27 09:30:00,20.0,22.26,28.91,2.25,True,20.47,True,21.12,False,24.3,23.7,0.6
2026-05-27 13:00:00,20.0,23.07,30.5,3.0,False,20.6,False,21.84,False,69.7,23.7,46.0
2026-05-27 14:45:00,20.0,23.07,29.88,3.0,False,20.57,False,21.68,False,66.5,23.7,42.8
2026-05-28 06:00:00,20.0,20.13,15.33,0.0,True,20.13,True,19.95,True,24.2,23.7,0.5
2026-05-28 07:45:00,20.0,22.08,19.55,1.75,True,20.46,True,21.54,False,24.2,23.7,0.5
2026-05-28 09:30:00,20.0,22.3,23.98,2.08,True,20.47,True,22.02,False,24.3,23.7,0.6
2026-05-28 11:15:00,20.0,22.37,26.38,2.25,True,20.47,True,22.01,False,47.7,23.7,24.0
2026-05-28 13:00:00,20.0,22.37,26.2,2.25,True,20.47,True,21.88,False,70.1,23.7,46.4
2026-05-28 14:45:00,20.0,22.44,25.49,2.33,True,20.44,True,22.12,False,63.3,23.7,39.6
2026-05-28 16:30:00,20.0,22.44,24.86,2.25,True,20.48,True,21.96,False,51.6,23.7,27.9
2026-05-29 07:30:00,20.0,18.15,17.05,0.0,True,18.15,True,18.15,True,24.1,23.7,0.4
2026-05-29 08:00:00,20.0,19.03,19.36,0.0,True,19.03,True,19.03,True,24.1,23.7,0.4
2026-05-29 09:00:00,20.0,20.52,23.36,0.08,True,20.45,True,20.52,False,24.2,23.7,0.5
